product_id,title,description,category,price
332,Advanced Smartphone,Smart technology integrated for seamless operation.,Home Appliances,64731
333,Durable Smartphone,"User-friendly, efficient, and value for money.",Clothing,47721
334,Advanced Shoes,Compact and portable design ideal for travel.,Electronics,47364
335,Wireless Power Bank,Smart technology integrated for seamless operation.,Sports,28967
336,Compact Power Bank,"Lightweight, durable, and built with premium materials.",Accessories,62114
337,Durable Power Bank,Advanced design optimized for everyday use.,Computers,81127
338,Compact Watch,Delivers high performance with excellent build quality.,Accessories,90816
339,Durable Watch,"User-friendly, efficient, and value for money.",Footwear,97280
340,Wireless Headphones,Smart technology integrated for seamless operation.,Kitchen,18615
341,High-Performance Shoes,"Lightweight, durable, and built with premium materials.",Kitchen,24740
342,Durable Camera,"User-friendly, efficient, and value for money.",Footwear,44025
343,Premium Camera,Delivers high performance with excellent build quality.,Sports,55356
344,Premium Shoes,"Lightweight, durable, and built with premium materials.",Kitchen,46789
345,Wireless Shoes,Compact and portable design ideal for travel.,Accessories,70343
346,Smart Watch,"Lightweight, durable, and built with premium materials.",Sports,85642
347,Advanced Backpack,Smart technology integrated for seamless operation.,Clothing,25409
348,Compact Mixer Grinder,High quality and reliable product with long-lasting performance.,Computers,2969
349,Portable Laptop,Delivers high performance with excellent build quality.,Home Appliances,78940
350,Compact Backpack,High quality and reliable product with long-lasting performance.,Clothing,32589
351,Wireless Laptop,"Lightweight, durable, and built with premium materials.",Clothing,98546
352,Premium Smartphone,Delivers high performance with excellent build quality.,Kitchen,83431
353,Portable Camera,Smart technology integrated for seamless operation.,Kitchen,22426
354,Wireless Shoes,High quality and reliable product with long-lasting performance.,Electronics,66037
355,Durable Mixer Grinder,"User-friendly, efficient, and value for money.",Electronics,42341
356,Eco-Friendly Television,Advanced design optimized for everyday use.,Electronics,1132
357,Eco-Friendly Watch,Compact and portable design ideal for travel.,Computers,13474
358,Smart Headphones,Delivers high performance with excellent build quality.,Home Appliances,24372
359,Durable Smartphone,High quality and reliable product with long-lasting performance.,Kitchen,48151
360,Premium Television,Advanced design optimized for everyday use.,Electronics,80452
361,Advanced Power Bank,"Lightweight, durable, and built with premium materials.",Home Appliances,49720
362,Compact Mixer Grinder,Eco-friendly materials used ensuring sustainability.,Accessories,85885
363,Premium Television,Delivers high performance with excellent build quality.,Home Appliances,4098
364,High-Performance Laptop,"User-friendly, efficient, and value for money.",Computers,26932
365,Premium Laptop,"User-friendly, efficient, and value for money.",Clothing,68800
366,Compact Smartphone,Smart technology integrated for seamless operation.,Kitchen,65055
367,Wireless Headphones,Smart technology integrated for seamless operation.,Sports,84216
368,Smart Smartphone,"User-friendly, efficient, and value for money.",Mobiles,12460
369,Compact Backpack,Eco-friendly materials used ensuring sustainability.,Kitchen,79015
370,Advanced Television,"User-friendly, efficient, and value for money.",Mobiles,2983
371,Portable Backpack,Smart technology integrated for seamless operation.,Sports,52586
372,High-Performance Headphones,Advanced design optimized for everyday use.,Clothing,2759
373,Compact Headphones,High quality and reliable product with long-lasting performance.,Sports,79696
374,Advanced Backpack,Compact and portable design ideal for travel.,Computers,54100
375,Eco-Friendly Television,Eco-friendly materials used ensuring sustainability.,Electronics,28766
376,Advanced Television,Eco-friendly materials used ensuring sustainability.,Mobiles,88989
377,Compact Power Bank,"Lightweight, durable, and built with premium materials.",Computers,24333
378,High-Performance Watch,Advanced design optimized for everyday use.,Computers,22069
379,Wireless Smartphone,Delivers high performance with excellent build quality.,Computers,66748
380,Wireless Camera,Eco-friendly materials used ensuring sustainability.,Mobiles,61533
381,Advanced Power Bank,Compact and portable design ideal for travel.,Clothing,68344
382,Premium Laptop,Eco-friendly materials used ensuring sustainability.,Clothing,89491
383,Smart Watch,Compact and portable design ideal for travel.,Computers,5229
384,Durable Laptop,"Lightweight, durable, and built with premium materials.",Electronics,93396
385,Durable Television,Advanced design optimized for everyday use.,Accessories,17077
